Human,AI

cloud sicher ,"Hallo, das lässt sich so nicht beantworten, darf ich noch ein paar Fragen stellen?"

ja ,"Handelt es sich dabei um eine eigene Cloudlösung, die vor Ort steht und betreut wird oder um eines externe Cloud bei einem Dienstleister?"

steht ort ,"Da die Cloudserver bei Ihnen direkt stehen, sind Sie auch verantwortlich für die IT-Sicherheit und den Datenschutz.
Darf ich noch kurz erläutern, wie die Hacker in der Regel in die Cloud und somit an die Daten kommen?"

ja ,"Viele Nutzer sind der Meinung, dass die Hacker immer direkt die Cloud angreifen. 
Das passiert zwar sehr häufig, aber die Hacker sind dabei nicht so erfolgreich, da die Clouds relativ sicher sind.
Deshalb greifen die Kriminellen die Unternehmen vor Ort an und stehlen die berechtigten Zugangsdaten zur Cloud.
Mit diesen Daten loggen die Kriminellen sich dann in die Cloud ein und kopieren sich alle Daten bzw. verschlüsseln diese.
Unter anderem durch diese Vorgehensweise wurden schon viele Unternehmen gehackt und das Problem dabei ist, dass der Unternehmer den Schaden hat, sich aber komplett enthaften und entlasten muss.
Ich hoffe, ich konnte helfen und ziehe mich erst einmal wieder zurück. END"

ja ,"Handelt es sich dabei um eine eigene Cloudlösung, die vor Ort steht und betreut wird oder um eines externe Cloud bei einem Dienstleister?"

steht ort ,"Da die Cloudserver bei Ihnen direkt stehen, sind Sie auch verantwortlich für die IT-Sicherheit und den Datenschutz.
Darf ich noch kurz erläutern, wie die Hacker in der Regel in die Cloud und somit an die Daten kommen?"

ja ,"Viele Nutzer sind der Meinung, dass die Hacker immer direkt die Cloud angreifen. 
Das passiert zwar sehr häufig, aber die Hacker sind dabei nicht so erfolgreich, da die Clouds relativ sicher sind.
Deshalb greifen die Kriminellen die Unternehmen vor Ort an und stehlen die berechtigten Zugangsdaten zur Cloud.
Mit diesen Daten loggen die Kriminellen sich dann in die Cloud ein und kopieren sich alle Daten bzw. verschlüsseln diese.
Unter anderem durch diese Vorgehensweise wurden schon viele Unternehmen gehackt und das Problem dabei ist, dass der Unternehmer den Schaden hat, sich aber komplett enthaften und entlasten muss.
Ich hoffe, ich konnte helfen und ziehe mich erst einmal wieder zurück. END"

cloud sicher ,"Hallo, das lässt sich so nicht beantworten, darf ich noch ein paar Fragen stellen?"

ja ,"Handelt es sich dabei um eine eigene Cloudlösung, die vor Ort steht und betreut wird oder um eines externe Cloud bei einem Dienstleister?"

kunde eigene cloud ,"Da die Cloudserver bei Ihnen direkt stehen, sind Sie auch verantwortlich für die IT-Sicherheit und den Datenschutz.
Darf ich noch kurz erläutern, wie die Hacker in der Regel in die Cloud und somit an die Daten kommen?"

ja ,"Viele Nutzer sind der Meinung, dass die Hacker immer direkt die Cloud angreifen. 
Das passiert zwar sehr häufig, aber die Hacker sind dabei nicht so erfolgreich, da die Clouds relativ sicher sind.
Deshalb greifen die Kriminellen die Unternehmen vor Ort an und stehlen die berechtigten Zugangsdaten zur Cloud.
Mit diesen Daten loggen die Kriminellen sich dann in die Cloud ein und kopieren sich alle Daten bzw. verschlüsseln diese.
Unter anderem durch diese Vorgehensweise wurden schon viele Unternehmen gehackt und das Problem dabei ist, dass der Unternehmer den Schaden hat, sich aber komplett enthaften und entlasten muss.
Ich hoffe, ich konnte helfen und ziehe mich erst einmal wieder zurück. END"

cloud sicher ? ,"Hallo, das lässt sich so nicht beantworten, darf ich noch ein paar Fragen stellen?"
ja ,"Handelt es sich dabei um eine eigene Cloudlösung, die vor Ort steht und betreut wird oder um eines externe Cloud bei einem Dienstleister?"
